wallet,token_address,token_symbol,token_name,balance,usd_price,usd_value,native_token,verified_contract,portfolio_pct
0x00000000219ab540356cbb839cbe05303d7705fa,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,ETH,Ether,62072472.28,2650.04212,1.64495E+11,TRUE,TRUE,99.99904169
0x00000000219ab540356cbb839cbe05303d7705fa,0x0698dda3c390ff92722f9eed766d8b1727621df9,ETH2POS,Ethereum2Proof-of-stake,4922.808412,233.6424218,1150176.879,FALSE,FALSE,0.000699212
0x00000000219ab540356cbb839cbe05303d7705fa,0xa9d54f37ebb99f83b603cc95fc1a5f3907aaccfd,PIKA,Pikachu,7.1121E+12,5.68E-08,403926.9648,FALSE,TRUE,0.000245554
0x00000000219ab540356cbb839cbe05303d7705fa,0x6c267d4a8a8158cd6b0e4edd010b1e4d1dc04f61,SMAR,ShibaMars,25425000000,2.35E-07,5981.416545,FALSE,FALSE,3.64E-06
0x00000000219ab540356cbb839cbe05303d7705fa,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,Tether USD,4933.853283,0.999696101,4932.35389,FALSE,TRUE,3.00E-06
0x00000000219ab540356cbb839cbe05303d7705fa,0x0ae055097c6d159879521c384f1d2123d1f195e6,STAKE,STAKE,40000,0.094160004,3766.400141,FALSE,TRUE,2.29E-06
0x00000000219ab540356cbb839cbe05303d7705fa,0x7d25d9f10cd224ecce0bc824a2ec800db81c01d7,OPT,ethopt.io,73995.51621,0.024110588,1784.075403,FALSE,FALSE,1.08E-06
0x00000000219ab540356cbb839cbe05303d7705fa,0x960fce8724aa127184b6d13af41a711755236c77,henlo,henlo,3.34347E+12,3.96E-10,1323.840818,FALSE,FALSE,8.05E-07
0x00000000219ab540356cbb839cbe05303d7705fa,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX,HEX,555555,0.00230873,1282.626253,FALSE,TRUE,7.80E-07
0x00000000219ab540356cbb839cbe05303d7705fa,0x566957ef80f9fd5526cd2bef8be67035c0b81130,USDC,USD Coin (PoS),961.321729,1.000326098,961.6352137,FALSE,TRUE,5.85E-07
0x00000000219ab540356cbb839cbe05303d7705fa,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USD Coin,431.033195,0.999654575,430.8843056,FALSE,TRUE,2.62E-07
0x00000000219ab540356cbb839cbe05303d7705fa,0xd80776bbf68cde466900a7214c772a7d179c420f,ETH2SOCKS,ETH2SOCKS,1,297.3228936,297.3228936,FALSE,FALSE,1.81E-07
0x00000000219ab540356cbb839cbe05303d7705fa,0x037a54aab062628c9bbae1fdb1583c195585fe41,LCX,LCX,2020.01122,0.13579416,274.3057261,FALSE,TRUE,1.67E-07
0x00000000219ab540356cbb839cbe05303d7705fa,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,Aave Token,1,264.4555414,264.4555414,FALSE,TRUE,1.61E-07
0x00000000219ab540356cbb839cbe05303d7705fa,0xd1afbccc9a2c2187ea544363b986ea0ab6ef08b5,ETHY,Ethereum Yield,100,2.513496155,251.3496155,FALSE,FALSE,1.53E-07
0x00000000219ab540356cbb839cbe05303d7705fa,0xf0f9d895aca5c8678f706fb8216fa22957685a13,CULT,Cult DAO,33131294.88,5.12E-06,169.5004754,FALSE,TRUE,1.03E-07
0x00000000219ab540356cbb839cbe05303d7705fa,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,DPI,DefiPulse Index,1,93.08364759,93.08364759,FALSE,TRUE,5.66E-08
0x00000000219ab540356cbb839cbe05303d7705fa,0x1f56ae850930460d076e8c2177d92daa6dd046c3,WOOF,Woof Token,10000000000,8.64E-09,86.44284954,FALSE,FALSE,5.26E-08
0x00000000219ab540356cbb839cbe05303d7705fa,0x69d9905b2e5f6f5433212b7f3c954433f23c1572,OOKS,Onooks,405.1514655,0.164831951,66.78190657,FALSE,TRUE,4.06E-08
0x00000000219ab540356cbb839cbe05303d7705fa,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,POLY,Polymath,1337,0.034891424,46.64983349,FALSE,TRUE,2.84E-08
0x00000000219ab540356cbb839cbe05303d7705fa,0xfe8503b8507ab725c171948a4a47454cd50e4844,SHIBAS,Shiba Smurf,14158426.17,2.34E-06,33.11930383,FALSE,FALSE,2.01E-08
0x00000000219ab540356cbb839cbe05303d7705fa,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,0.01000631,2650.04212,26.51714297,FALSE,TRUE,1.61E-08
0x00000000219ab540356cbb839cbe05303d7705fa,0xd5525d397898e5502075ea5e830d8914f6f0affe,MEME,MEME,2,12.89597601,25.79195201,FALSE,FALSE,1.57E-08
0x00000000219ab540356cbb839cbe05303d7705fa,0xc944e90c64b2c07662a292be6244bdf05cda44a7,GRT,Graph Token,200,0.108959985,21.79199704,FALSE,TRUE,1.32E-08
0x00000000219ab540356cbb839cbe05303d7705fa,0x1abaea1f7c830bd89acc67ec4af516284b1bc33c,EUROC,Euro Coin,17,1.12953835,19.20215196,FALSE,TRUE,1.17E-08
0x00000000219ab540356cbb839cbe05303d7705fa,0xcf8335727b776d190f9d15a54e6b9b9348439eee,WHACKD,Whackd,8322.701863,0.002083326,17.33890029,FALSE,FALSE,1.05E-08
0x00000000219ab540356cbb839cbe05303d7705fa,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,MKR,Maker,0.00880337,1690.744298,14.88424763,FALSE,TRUE,9.05E-09
0x00000000219ab540356cbb839cbe05303d7705fa,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,LRC,LoopringCoin V2,121,0.097343321,11.77854189,FALSE,TRUE,7.16E-09
0x00000000219ab540356cbb839cbe05303d7705fa,0xbd2949f67dcdc549c6ebe98696449fa79d988a9f,eMTRG,Meter Governance mapped by Meter.io,100,0.107358079,10.73580793,FALSE,TRUE,6.53E-09
0x00000000219ab540356cbb839cbe05303d7705fa,0x09a3ecafa817268f77be1283176b946c4ff2e608,MIR,Wrapped MIR Token,666,0.014524685,9.673439901,FALSE,TRUE,5.88E-09
0x00000000219ab540356cbb839cbe05303d7705fa,0x0be87729309b1cf91dc4be625f4f84e97c8cc8d5,SCHWAB,Schwab Token,100000000,8.82E-08,8.822548765,FALSE,FALSE,5.36E-09
0x00000000219ab540356cbb839cbe05303d7705fa,0xb6ed7644c69416d67b522e20bc294a9a9b405b31,0xBTC,0xBitcoin Token,84.14380243,0.100407885,8.448701197,FALSE,TRUE,5.14E-09
