wallet,chain,native_balance,native_balance_usd,token_balance_usd,chain_networth_usd,total_networth_usd
0x00000000219ab540356cbb839cbe05303d7705fa,eth,62077115.25,1.62786E+11,411575.92,1.62787E+11,1.62787E+11
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,eth,2734846.731,7171647734,2393464.46,7174041199,7174041199
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,eth,1996008.369,5234175918,31.86,5234175950,5234175950
0x49048044d57e1c92a77f79988d21fa8faf74e97e,eth,1839921.56,4824866103,29.73,4824866132,4824866132
0x40b38765696e3d5d8d9d834d8aad4bb6e418e489,eth,1376694.803,3610136559,767816083.5,4377952643,4377952643
0x8315177ab297ba92a06054ce80a67ed4dbd7ed3a,eth,1026833.876,2692688683,3.46,2692688687,2692688687
0x742d35cc6634c0532925a3b844bc454e4438f44e,eth,854992.1315,2242064359,218135918.4,2460200277,2460200277
0x0e58e8993100f1cbe45376c410f97f4893d9bfcd,eth,768946.2965,2016424505,22.98,2016424528,2016424528
0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,eth,554999.0576,1455386033,7833151947,9288537980,9288537980
0xe92d1a43df510f82c66382592a047d288f85226f,eth,450118.3305,1180355034,9.79,1180355044,1180355044
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,eth,369498.9676,968945134.7,7786.7,968952921.4,968952921.4
0x8d0bb74e37ab644964aca2f3fbe12b9147f9d841,eth,367474.809,963637139.8,211.04,963637350.9,963637350.9
0xa6dfb62fc572da152a335384f7724535b9defc84,eth,355000.0057,930924193.2,0,930924193.2,930924193.2
0x28c6c06298d514db089934071355e5743bf21d60,eth,316462.5438,829866573.3,1985591363,2815457936,2815457936
0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,eth,325000.4824,851728931.5,121.9,851729053.4,851729053.4
0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,eth,318063.7606,833549861.2,5854973320,6688523182,6688523182
0x3bfc20f0b9afcace800d73d2191166ff16540258,eth,306276.6355,802659336.3,4.09,802659340.4,802659340.4
0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,eth,300305.2991,787010251.9,537931072.8,1324941325,1324941325
0x8103683202aa8da10536036edef04cdd865c225e,eth,275000.0335,720692729.4,3.56,720692733,720692733
0x5a52e96bacdabb82fd05763e25335261b270efcb,eth,267483.0226,700992895.1,5550880702,6251873597,6251873597
0xbeb5fc579115071764c7423a4f12edde41f106ed,eth,266361.0299,698052488.2,5.28,698052493.5,698052493.5
