wallet,nfts,collections,transactions_total,nft_transfers_total,token_transfers_total
0x00000000219ab540356cbb839cbe05303d7705fa,20,19,675544,23493,115310
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,50,36,20013180,101,160362
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,223,55,2351,279,12695
0x49048044d57e1c92a77f79988d21fa8faf74e97e,5,4,1116001,17,173
0x40b38765696e3d5d8d9d834d8aad4bb6e418e489,218,24,289,243,2882
0x8315177ab297ba92a06054ce80a67ed4dbd7ed3a,9,9,166,19,77916
0x742d35cc6634c0532925a3b844bc454e4438f44e,93,87,25509,198,65904
0x0e58e8993100f1cbe45376c410f97f4893d9bfcd,5,2,30766,11,593
0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,70,69,449,147,5650
0xe92d1a43df510f82c66382592a047d288f85226f,150,77,553,167,637
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,7,7,867,12,3917
0x8d0bb74e37ab644964aca2f3fbe12b9147f9d841,3196,3196,64,4317425,8
0xa6dfb62fc572da152a335384f7724535b9defc84,0,0,34,0,1
0x28c6c06298d514db089934071355e5743bf21d60,275,192,23541299,5996,25675763
0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,105,14,183,4122,660
0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,4,4,208,9,2642
0x3bfc20f0b9afcace800d73d2191166ff16540258,5,5,580,11,238
0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,14,14,1266,29,2151
0x8103683202aa8da10536036edef04cdd865c225e,145,10,126,150,224
0x5a52e96bacdabb82fd05763e25335261b270efcb,199,91,4803,284,8794
0xbeb5fc579115071764c7423a4f12edde41f106ed,3,3,32351,5,66
0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,3695,3663,143,4943705,561
0xf977814e90da44bfa03b6295a0616a897441acec,6839,209,18266,6999,66849
0x539c92186f7c6cc4cbf443f26ef84c595babbca1,4,4,89,9,346
0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,48,17,143,9354,569
0xbfbbfaccd1126a11b8f84c60b09859f80f3bd10f,4,4,110,9,505
0x868dab0b8e21ec0a48b726a1ccf25826c78c6d7f,4,4,87,9,514
0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,150,81,266,165,920
0x220866b1a2219f40e72f5c628b65d54268ca3a9d,3533,1316,317,4203,7143
0x73af3bcf944a6559933396c1577b257e2054d935,31,31,754,59,4930
0x866c9a77d8ab71d2874703e80cb7ad809b301e8e,12,12,254,19,56
0x15c22df3e71e7380012668fb837c537d0f8b38a1,2,2,204,8,301
0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,3519,1378,2965,5697146,2657404
0x0bd48f6b86a26d3a217d0fa6ffe2b491b956a7a2,2,2,7339,2,1
0x17e5545b11b468072283cee1f066a059fb0dbf24,3,3,82436,6,26
0xafcd96e580138cfa2332c632e66308eacd45c5da,69,69,708,176,1962
0x9c22a4039f269e72de6b029b273be059cdbb831c,0,0,8,0,0
0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,41,9,94,47,702
0x94dbf04e273d87e6d9bed68c616f43bf86560c74,37,37,58869,60,37351
0x7bbfaa2f8b2d2a613b4439be3428dfbf0f405390,2,2,68,2,31
0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,40,9,124,46,659
0x2f2d854c1d6d5bb8936bb85bc07c28ebb42c9b10,3,3,106,9,297
0x109be9d7d5f64c8c391ced3a8f69bdef20fcaea9,2,2,134,2,12
0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,29,29,82180,29,96812
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,107,105,5290,225,10437
0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6,8,8,416,14,600
0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,2,2,121,7,91
0xd47b4a4c6207b1ee0eb1dd4e5c46a19b50fec00b,7,5,107,13,70
0xd65fb7d4cb595833e84c3c094bd4779bab0d4c62,3,3,102,10,67
0xa160cdab225685da1d56aa342ad8841c3b53f291,1,1,8840,7,91
0x59708733fbbf64378d9293ec56b977c011a08fd2,1,1,171,6,42
0xb4f4317b7885de16305d1303570879c21f378255,2,2,184,8,50
0x84bf16e7675cee22d0e0302913ccf58b45333ddf,2,2,176,7,43
0x6d9d2b30df394f17a5058aceb9a4d3446f1bc042,2,2,130,8,46
0xf443864ba5d5361bbc54298551067194f980a635,2,2,179,7,46
0x6c6d0af3b2059247530972834b9348f6d7c7ce13,2,2,148,2,2
0xa1a45e91164cdab8fa596809a9b24f8d4fdbe0f3,8,7,195,17,216
0x376c3e5547c68bc26240d8dcc6729fff665a4448,1,1,109,6,158
0x0f3a1bfd2a873c36bae8a7d442247fe4b8b88a69,1,1,2848,2,1
0x084ef8564b4f75a70b7ad5e8aabf73edac005397,3,2,182,9,40
0xcac9c634b4464efe71a9a5910edba06686baf457,4,3,177,9,39
0x04b7f4195595d8132dd8249cc8dc7e79a6ae772b,1,1,121,7,36
0xff2ac8c5834a7585fcc97edb8ba2431c4beab487,1,1,118,7,35
0x4ed97d6470f5121a8e02498ea37a50987da0eec0,3,3,153,9,36
0x6e414cfad874d8ee716ea0299d40011207c907b8,2,2,122,8,37
0x19bf56fca395a600c20f732b05757f30ad24a719,1,1,115,7,36
0xfcd159d0fef5b1003e10d91a5b79d52bbb8cd05d,1,1,116,7,37
0x8ae880b5d35305da48b63ce3e52b22d17859f293,2,2,53,7,39
0xa463597d49f54fe6a811fb894cbd67c7f92852b0,2,2,119,8,37
0x5a710a3cdf2af218740384c52a10852d8870626a,1,1,87,6,52
0xbed96d0840201011df1467379a5d311e0040073a,2,2,52,8,50
0x4eac9ce57af61a6fb1f61f0bf1d8586412be30bc,3,3,59,8,127
0x67f706db3bbd04a250eed049386c5d09c4ee31f0,6,6,82,12,76
0x999e77c988c4c1451d3b1c104a6cca7813a9946e,70,49,558,78,279
0xd9858d573a26bca124282afa21ca4f4a06eff98a,3,2,56,7,43
0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,8,7,88,13,2656
0xd8d98ee915a5a4f52c40d97fcd8ffadea1ee8604,452,452,55,5898189,29
0x40f50e8352d64af0ddda6ad6c94b5774884687c3,5,5,34,10,151
0x2d89034424db22c9c555f14692a181b22b17e42c,5,5,54,10,155
0x9e927c02c9eadae63f5efb0dd818943c7262fb8e,9,8,1521,17,1690
0xbed1eb542f9a5aa6419ff3deb921a372681111f6,5,5,167,5,12336
0x303c741bb15c9c4b1c72320f6df702b32da80519,2,2,122,8,30
0xe9a5a2acfa9bee149ed28fcbf12b60ff2ad97efb,2,2,119,8,28
0xe93fc974908003faddf0bd972b05b6494368d3f5,2,2,127,7,27
0x36b6751586614d647d8a3f495e82bdcf250914c8,2,2,114,8,30
0x28140cb1ac771d4add91ee23788e50249c10263d,1,1,62,5,42
0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f,4,3,109,9,105
0x3727cfcbd85390bb11b3ff421878123adb866be8,144,48,19994,204,58595
0xc56fefd1028b0534bfadcdb580d3519b5586246e,0,0,57,5,1038
0xf196c023de1f19d6529133759f449c4b01ce0f51,2,2,105,8,27
0x86a6a0080b1a4c9390416cf73ffb02738d94f8d6,2,2,55,7,23
0x9030dcb01830eaa3d8ba285a824a05d8fb489ad0,2,2,53,7,21
0xd19d4b5d358258f05d7b411e21a1460d11b0876f,1,1,1294370,15,28
0x807cc0e799dcc651d94595e1f7f6e7373ef8f96a,2,2,107,8,23
0xa580e49df5d054d69cf1b2ef4af847c6e6f64d30,1,1,56,7,22
0x9b07c94f1d39d24b68da8ff7c78adb8b70238a75,2,2,55,7,22
0x22a54a1eb8c573bbf845dd1ff64c8df05502c1b0,2,2,54,8,22
0xda29accfb77995bef70bcf6478a73e9acb07732d,3,3,51,9,26
0xf29c6705f188526e0029a92ee6bc21ebc750b675,2,2,51,8,23
0x03d615c04be905790dbef2df0472a2e901ccd810,1,1,51,7,19
0x5d71f4d4f6048112a3b21433fbcfba5f1f39549f,2,2,52,8,20
0x6fb8ebc19bc2a9fa4413ba6a0ca6fa99e974b461,2,2,101,7,25
0x6969d381bb7c775f6393bde4b69ed1afbbf7780a,0,0,5,0,0
0xbddf00563c9abd25b576017f08c46982012f12be,5,4,965,13,43
0x1bb762b16438f8b287626fd1042bc6f6848cc286,3,3,47,7,24
0x0ef3794802b55bc4464114c3df550430b53a3506,5,4,118,12,37
0xad0d53cf033ab63dc72d653640766ee1d366cef6,1,1,121,6,29
0xac08f21ef597a51865d69896f09b52472acde80d,1,1,110,6,25
0x6586ce3d543e0c57b347f0c3b9eeed2f132c104f,6,6,51,12,143
0x3f4ac8d3e1414b5351e632391908177c012c65cc,1,1,121,8,25
0xb3764761e297d6f121e79c32a65829cd1ddb4d32,3,2,121,9,135
0xbf4ed7b27f1d666546e30d74d50d173d20bca754,3,3,20146,9,15411
0xb46427e2cddecb0bde40bf402361effddd4401e2,4,4,51,11,133
0xddfa14b51e25ea8ea16d854cd4de263ad4e04f6e,0,0,30,4,6
0x2fd56159f4c8664a1de5c75e430338cfa58cd5b9,18,17,129,30,373
0xc39cc669a548c661dfa6b5a1eeaa389d1ec53143,5,5,53,13,153
0x918fa381cb534677bad24afb29cb3c2acaf16385,0,0,50,6,25
0xd2b0b1daed605718080f861034d3241f1cfd89cb,0,0,47,4,25
0xcffad3200574698b78f32232aa9d63eabd290703,692,458,1350554,942,1394069
0xfdfeb7474b6b104f32599948bb7f8ed81b06def3,3,3,54,8,61
0x1430c9ebed1060ab0dd63a768e4be0d8ea9a85c6,2,2,190,2,56
0xc54cb22944f2be476e02decfcd7e3e7d3e15a8fb,2,2,10362,3,5784
0x831c3720681096f276cb016b51a33433d7cb2faa,1,1,110,7,26
0x0a8f6257ef3ed3efdd8dd18dd9294d3e333ad7fc,1,1,121,6,25
0x7ced76dde9203a554df01cbb1ed0d17e9bce7524,3,3,108,58,24
0x10cad69cbd241d36ed8c6d83a9f30b380134d1bc,1,1,119,7,25
0x92f71d08f5ee94a7bf40fab05beda3545b55ad2a,1,1,116,6,27
0xb3177d9873b7ac246874114d8760e66dc5e797cc,1,1,113,7,23
0x6b2069bde6b87d0f882abbdc6eb4fcbd0a90bb96,2,2,118,8,25
0x1b7b5b4bed048d86976d7cf51d9c4ea24e20ade7,1,1,115,6,23
0xb0a27099582833c0cb8c7a0565759ff145113d64,3,3,1043,3,1932
0x9aabd298b30d034f8c64f86aa25fc74b9f70930f,1,1,116,7,27
0xe27f62b70ab44d7fd1842dce66138a31940fa29a,1,1,117,6,27
0x755cdba6ae4f479f7164792b318b2a06c759833b,4,4,8475,8,7676
0x76ec5a0d3632b2133d9f1980903305b62678fbd3,23,23,3094,23,5128
0x48c3ff4faba735e659beb7bf3e1ff65a159928ae,2,2,45,2,4
0x24c16c998a1d0966a0a9ec2787f82d1d324b6263,3,3,46,3,4
0x3fd6b1e25200fdda352cbc911ffcd4308895a7d0,1,1,138,6,24
0xd65d71e5ecccfcf72b84cad65370626e048d1b33,1,1,122,8,25
0x1f72b240b6fffceba07bdaa097cc7b216a643a0f,1,1,125,7,26
0x4e5fab20b7b83c6f557b20c820883eab0a0b343b,2,2,130,8,26
0x54cee0ef273d3d08ed120b0c561c0284a4c4490e,1,1,117,7,25
0xecef66258cc21cb742ac34c68375b311fd3f34cc,1,1,203,6,24
0x92cf9066c657b1f63a7a2dc37255b31be6ef1858,1,1,279,6,22
0xc4d5b7c576edfbac20fa081cff79ec745193e207,4,2,267,10,24
0xd548dd6ccc7a563346372fa0d8cef06e1683b0e3,1,1,276,6,23
0xcaaad25746a0e04a3c7eff86422991b00fd3d76a,1,1,127,7,27
0x1e143b2588705dfea63a17f2032ca123df995ce0,2,2,21275,7,118
0x4920f22b632bfaa40af8d39c31d9607809485952,1,1,66,6,26
0x5126ec2d8834b63a962fc471e2a6b12641454fe8,2,2,85,8,25
0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40,8,8,282,18,5841
0xf197c6f2ac14d25ee2789a73e4847732c7f16bc9,30,30,3323,79,1051
0x282edab8a933bc1c02649fe3ea2842ecbe9928a7,5,5,119,10,92
0xec6a76e74b9a5ad49eda0aa63b91c2c53cb65a9c,2,2,71,8,13
0x1e547eb395ac9c3ec41704ba85777dbcdd359de5,1,1,137,4,62
0x43684d03d81d3a4c70da68febdd61029d426f042,21,21,282,21,660
0x28cc933fecf280e720299b1258e8680355d8841f,0,0,258,0,631
0x3bc643a841915a267ee067b580bd802a66001c1d,4,4,410,11,162
0x26648eb66f11fe2e9d7b874981e8eefe6567b9df,1,1,165,7,24
0x7ac0d327c18dc46f603e127b89db0a5b749dc069,2,2,69,6,10
0xae0ee0a63a2ce6baeeffe56e7714fb4efe48d419,2,2,1831533,16,42
0x8c1fe06904a6e642b1e8c66b3ee7fac83cc46873,2,2,70,7,152
0xd6216fc19db775df9774a6e33526131da7d19a2c,213,176,12804,425,43371
0xe913f7c3cfd476bd71243da9923bc40a708aacec,1,1,1,2,0
0x52e86988bd07447c596e9b0c7765f8500113104c,1,1,10171,6,11
0xb203e1170a30e68dc5b20aac08aa42619842c79e,3,3,314,12,97
0x1342a001544b8b7ae4a5d374e33114c66d78bd5f,4,3,84,10,124
0xd4914762f9bd566bd0882b71af5439c0476d2ff6,4,3,100,9,111
0x5bcd25b6e044b97dfc941b9ec4b617ec10e1abcd,17,15,220,25,405
0xa43d2e05ed00c040c8422a88cb8ede921a539f92,2,2,847,10,129
0x998a7fd73446cd6532bf3058a270581730b27137,435,435,57,5738446,56
0x8696e84ab5e78983f2456bcb5c199eea9648c8c2,2,2,9403,7,442
0xb10edd6fa6067dba8d4326f1c8f0d1c791594f13,1,1,12076,4,29
0x8c3389616404fda275cfdba0c7b0b3d1fee9ebdc,1,1,50,5,23
0x0cd2e58d93160773e98dba2d10f0e1f8bdd65959,1,1,106,3,14
0x434587332cc35d33db75b93f4f27cc496c67a4db,55,55,232,117,3087
0x2842eb68fcd748e92acb44d82a9e315fc7dc650d,1,1,48,7,17
0x7df24e36497dc9f6edea0a024a595a930049ee47,1,1,60,5,10
0x05576087d1ad92873da0a3b76e7105195935b0f5,1,1,48,5,55
0x7c2a289c0523e748c286a37570d2efc16d2c934e,1,1,50,6,110
0x6e29f75b0350fd0e85ee34a21ef94767b0186996,2,2,80,7,87
0x26bbffef29c50f607be20d98cb44fbfc64cc50df,1,1,1,2,0
0xe3f53355cdbeaf2afafc4fc22be0a5c02570061a,0,0,47,6,16
0xe5bb1523743d3a3c1eb6682060e3c3b0041db563,2,2,67,4,7
0xa6715eafe5d215b82cb9e90a9d6c8970a7c90033,7,4,541,10,46
0x93610880fb8f4f2a33931b403990d3536f73de5f,1,1,33,2,7
0x1c7bfcad2ee0e50493fa6a22f4f06c0c9ec86e60,1,1,31,3,7
0x7ef857eb57071f1d659d43ea466591bf7c32dc3d,1,1,48,3,6
0xfe27a55a953b741daccd6606b560fc98edebf0ac,1,1,60,2,5
0xef6ddef90502aee5bb6bd9db326c853e44c42be1,1,1,42,4,6
0x33cba8530056037780bd7c3cd65d4d6ff1aebbf8,1,1,30,3,6
0xdfcc6d21f4494a81b605d67900bfb03290a00555,1,1,39,3,5
0xa56d5dc24797e7e7fe0981fa49302ec673992ef8,1,1,56,2,6
0xdd0817f5c09013ab1a78c7943d4baed6bcf64548,2,2,39,5,7
0x2fb6db0fc654925ae4aad32ef06aa2b4a5684dda,2,2,44,4,8
0xaacdeeab334a8fd81baae72bc34274d1e57227a7,2,2,44,4,9
0x0afbaf9dd49d5d7b32bc196a1d5fdf0a611f60ac,2,2,51,4,9
0xab90ed01b9f5e903b988856f09a14bb9f5413282,1,1,29,3,7
0x991a7ff3cb20d5b5d6d9be5efec4e4c51cddad7a,2,2,53,8,34
0x256eec4293b8df9399a933a61f9ad23d26e17a2d,2,2,28,2,1
0x9e154e49ce0c4d1133f526f91b13893dcd5919d4,2,2,28,2,1
0x8c16654e999413be8c915f8ff1decbc881511201,2,2,36,2,4
0xfeeffac279d9cbf3b01879ef1889927ba34e74d7,3,3,28,3,4
0xe651e175046a8b812521711bf0a60f03654a2dbd,2,2,28,2,3
0x575c25b7a57187007870b777cd4bb44e93ac323c,3,3,33,3,4
0x74e9b764e0b14a63d11e6c1439325986f76d0984,2,2,45,2,3
0x240a478dca8fd4ee366c11be433fe5413b6a257f,2,2,37,2,4
0x93d58cc117e0af304b5042a42c003d594500abee,2,2,41,2,3
0xe49dae1271a993e1ca7206ed04e2323e3a8e2040,2,2,28,2,5
0xdc9f181faa64e9b9351ff4f6060682b7effcdf67,2,2,28,2,4
0xda78f7f430a98011ffdf4e01347482d17660005d,1,1,36,2,5
0xe084cd9365e25716a893b12a650274559b783d62,2,2,27,2,1
0xc1458d19970ebfaf46fbb6c781c87d87e25539b7,2,2,47,2,1
0xcade17f4f80187f0ba8110642b8ef9a7bf67e0f2,0,0,2,0,0
0xd3d6e5fde174dd1a67d974e766fcac6d7676b320,2,2,23,2,1
0x48cd64a62aed2d0933faa94815e03d667d04078e,0,0,0,0,0
0x1b8766d041567eed306940c587e21c06ab968663,2,2,70,8,85
0x795cbc7a670d06e56cd2197d4ca175e081a416ad,1,1,106,6,16
0xc45c36017b0b7708f493534ca4f0930964c1d542,3,3,44,3,3
0x47029dc4f3922706bf670d335c45550cff4f6a35,10,10,60,17,178
0xceffc7330317f72957c662d072a5e7d63b9b578c,1,1,36,8,122
0x89434a1a33af76fab6eb23c06aba4f341bb84ef5,0,0,2,0,0
0xad7f791974169973443c496eaa102f1a7842003d,1,1,36,5,9
0xd81e5c967dcaae076f1e650303dc0a63ed8a34d6,2,2,62,2,1
0xee5b5b923ffce93a870b3104b7ca09c3db80047a,34,34,2460,88,5400
0xa90aa5a93fa074de79306e44596109dc53e01410,1,1,257,10,132
0x50cb0508434b4c68a2c4fde30b02b269d2d5b6bd,2,2,36,8,108
0x50bd66bfddf48b8914602bf51c93756731ec51ae,1,1,35,6,105
0x5a03703125380cfda804446fdaa3b4064cb6cc0a,2,2,32,9,119
0x6220d7a458a68d6a554e5904792049fd2ef6bbcc,1,1,34,6,123
0x07f1d450b16e53302931c5362ee0ab41f2978541,2,2,33,7,123
0x79ae8c1b31b1e61c4b9d1040217a051f954d4433,0,0,35,0,0
0x25c7d768a7d53e6ebe5590c621437126c766e1ea,0,0,35,0,0
0xc273a2e3fc4c8f8610ebe51123dc32d233913da7,0,0,34,0,0
0x98ec059dc3adfbdd63429454aeb0c990fba4a128,38,7,109,45,6917
0xc97b6e3e4301617f617b23120f31303e8ccee606,1,1,32,6,117
0x565b8fbf9336bec8fbfb4f78fbf30d7f70d6973b,1,1,30,7,118
0xe6f5b8d420a8427e1718aa53bda05fc741a76fb6,0,0,3,0,0
0xe780a56306ba1e6bb331952c22539b858af9f77d,2,2,31,9,121
0x35696b0847ed8428a098cba726b6514582aa5fc7,0,0,8,0,1
0xcab3f132a11e5b723fc20ddab8bb1b858d00a8e8,4,4,57,4,6
0xa18eb0ed2543be132ef5aa3c8a87a0f5b2e30fca,1,1,34,8,123
0x914313e0baad92a06ff64eae074b42bef8ddc1ad,0,0,1,0,0
0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,15,14,330715,33,353957
0x1e747fb111ba949af397b15cbceb424d3f19d8a6,1,1,32,6,16
0x8408b4ff79195dd2c1b903204b3b41becc4bb486,1,1,1284,7,27
0x7442041898dc3f8ed76fa4e00a762064c87991c8,1,1,32,6,15
0x3d9256ad37128e9f47b34a82e06e981719477c18,2,2,4449,7,42
0x3262f13a39efaca789ae58390441c9ed76bc658a,2,2,113,6,38
0xae004fada7bc866cf3865a804df8279df5ffaadb,0,0,1,0,0
0x6130611f7a65deb930bd0c0825af88078fcced43,3,3,31,6,29
0xc963eb5b4c9e1d9251d012373c3d430f066bcdec,9,9,121,10,276
0xf9a345948c9f31b225686ab8911140b0e2bcdca8,1,1,54,7,20
0x7713974908be4bed47172370115e8b1219f4a5f0,8,8,135,20,367
0x70773129aca50d298631283e137473ab8ffc0177,2,2,29,8,17
0x16cb7e14189415a3bb7add718fa7f0d53c23a011,0,0,2,0,0
0xad10a0ec7a7fdd54b9d13fa8e2ee1d5f4e94627a,1,1,81,3,5
0x1ac33f385a4e9fe2d809a81c5c10473f81ee0ed3,1,1,41,7,122
0x78d070de6735ef2f21d0a6532a9ae254cae0aecf,1,1,59,7,18
0xee471215e428c08ba69751627e5f6761bba7ae18,1,1,214,6,28
0x42697cc8cb495aebd453d016950344867d51f27e,1,1,32,7,25
0x7f3a1e45f67e92c880e573b43379d71ee089db54,7,7,291,14,169
0x0c501d43206b97fa4300f1b0962742b4f938f70e,40,40,4496,105,9223
0x0100dc5672f702e705fc693218a3ad38fed6553d,0,0,32,0,0
0x90f9dff16f9efafeeb8b130dc5d3562ac5e76a96,1,1,31,7,25
0x9168765ee952de7c6f8fc6fad5ec209b960b7622,1,1,37462,3,12
0x15abb66ba754f05cbc0165a64a11cded1543de48,34,31,3589,59,12465
0x9696f59e4d72e237be84ffd425dcad154bf96976,69,30,7862242,93,2329673
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,43,38,5551037,87,4068
0x14e40e9528d3d3ae65d710aafd7019e61ff0b447,1,1,20,2,3
0x093c06ab7ffe19bd3efc8a55548bdf4285505577,1,1,31,6,17
0xdca6ab9508d28c0eb7b120b8252041edcb56753f,2,2,47,8,53
0x111cff45948819988857bbf1966a0399e0d1141e,21,21,26033,68,16968
0x5696ae5ad2c22a4afc03bbae5bf18ca9278ae5c5,2,2,34,7,105
0xa3307fa292b7dd2c91218d5688556ff7eb1e5f88,1,1,441,5,395
0x4b068fe2cee007a48db70b28047470ded49d6aba,301,2,2229,308,111
0xf367ae3ec7941e5145eebe0a820da59a7df82012,1,1,39,8,87
0x8729dc4831577d8a30e28e264d974745d9a92335,1,1,33,9,23
0xd641651ed7e19a04ce536610d75b3dcaf427ad73,13,13,200,27,143
0x37e3bc492735d3d84f2b126cffaf4f0a95bff049,2,2,57,8,47
0x3b9de915fce667b90f919075c4d10067b15192a9,1,1,36,3,9
0xabdc9f1bcf4d19ee96591030e772c334302f7d83,2,2,29,7,99
0x65f6db242a5eb6037ecbccb9fdcd9666fba8d1cc,1,1,38,8,20
0x2dca0e449ab646dbdfd393a96662960bcab5ae1e,3,3,31,8,109
0xd72fcafc43706d5854d034bf25cb96a07465c435,2,2,34,8,15
